mirror_id,latitude,longitude,best_confidence,detection_count,status,best_detection_id,best_image_id,best_candidate_id,best_panorama_id,best_latitude,best_longitude,best_heading,best_bbox_x,best_bbox_y,best_bbox_w,best_bbox_h,best_detector_type,best_status,best_detected_at
9f90b556-f0b,18.47599407767,73.862320157282,0.691,900,candidate,0799678d-7b6,mapillary_172095134791857,mapillary,172095134791857,18.47599407767,73.862320157282,356,0,412,122,122,opencv_hough_v1,candidate,2026-09-08T16:59:17.409500+00:00
cf7079c2-d7d,18.471555423225,73.863463381744,0.679,290,candidate,b5cad7ca-745,mapillary_4512042082145388,mapillary,4512042082145388,18.471555423225,73.863463381744,336,542,277,146,146,opencv_hough_v1,candidate,2026-09-08T16:58:49.680065+00:00
98045bad-257,18.475801324544,73.862345543813,0.662,365,candidate,4b6160dd-b1d,mapillary_503016854074357,mapillary,503016854074357,18.475801324544,73.862345543813,4,814,200,122,122,opencv_hough_v1,candidate,2026-09-08T16:59:04.805583+00:00
29099bfa-de2,18.474625159671,73.862414951852,0.652,537,candidate,e5fcd275-88b,mapillary_973364723403931,mapillary,973364723403931,18.474625159671,73.862414951852,353,730,452,144,144,opencv_hough_v1,candidate,2026-09-08T16:59:11.953075+00:00
9e4ca91a-682,18.475115130695,73.861082657885,0.649,287,candidate,77c7da1e-0c5,mapillary_255419616329761,mapillary,255419616329761,18.475115130695,73.861082657885,275,670,392,146,146,opencv_hough_v1,candidate,2026-09-08T16:58:54.448724+00:00
9fe75831-46a,18.476261707965,73.862303710619,0.631,245,candidate,8bef3131-20c,mapillary_310393700454417,mapillary,310393700454417,18.476261707965,73.862303710619,351,954,359,70,124,opencv_hough_v1,candidate,2026-09-08T16:59:25.124028+00:00
6e9fe259-731,18.47507303203,73.861366847061,0.597,154,candidate,881ecd83-291,mapillary_1393299064369870,mapillary,1393299064369870,18.47507303203,73.861366847061,319,414,186,146,146,opencv_hough_v1,candidate,2026-09-08T16:58:56.333190+00:00
9c9a4e30-7cf,18.474859069093,73.858334668006,0.582,65,candidate,fc921951-9ea,mapillary_258227855779876,mapillary,258227855779876,18.474859069093,73.858334668006,264,526,195,140,140,opencv_hough_v1,candidate,2026-09-08T16:58:53.001443+00:00
5320264b-337,18.473231254708,73.858137793036,0.58,207,candidate,44e3d121-c42,mapillary_318674196293064,mapillary,318674196293064,18.473231254708,73.858137793036,163,0,310,172,172,opencv_hough_v1,candidate,2026-09-08T16:58:52.493044+00:00
fa9dac6e-ad5,18.474905164111,73.859383824291,0.575,144,candidate,d5632913-28e,mapillary_1201156206981076,mapillary,1201156206981076,18.474905164111,73.859383824291,263,487,233,152,152,opencv_hough_v1,candidate,2026-09-08T16:58:45.882248+00:00
a09e2161-6bf,18.475901503459,73.86245656,0.569,106,candidate,4015cef1-8fd,mapillary_299193431921088,mapillary,299193431921088,18.475901503459,73.86245656,158,0,277,58,58,opencv_hough_v1,candidate,2026-09-08T16:59:20.793089+00:00
884cbcc1-d65,18.473394024773,73.858057435449,0.555,156,candidate,e9082dcd-1b0,mapillary_267033215105455,mapillary,267033215105455,18.473394024773,73.858057435449,154,473,330,132,132,opencv_hough_v1,candidate,2026-09-08T16:59:06.435932+00:00
2427af78-11c,18.473088569124,73.858181174343,0.541,132,candidate,3bdd492b-2d5,mapillary_368798647892947,mapillary,368798647892947,18.473088569124,73.858181174343,163,93,320,122,122,opencv_hough_v1,candidate,2026-09-08T16:58:48.451899+00:00
91964863-6e8,18.47491675483,73.85923939975,0.539,63,candidate,9746d709-d79,mapillary_377033363649473,mapillary,377033363649473,18.47491675483,73.85923939975,269,486,183,190,190,opencv_hough_v1,candidate,2026-09-08T16:58:47.485061+00:00
46377d4c-295,18.4754976652,73.8624971062,0.511,83,candidate,0f13a6a8-28f,mapillary_861217854431136,mapillary,861217854431136,18.4754976652,73.8624971062,172,428,168,180,180,opencv_hough_v1,candidate,2026-09-08T16:59:01.690557+00:00
1ff9d5fa-ca2,18.474872132736,73.858159695691,0.449,30,candidate,345bde5a-6ab,mapillary_373881933968758,mapillary,373881933968758,18.474872132736,73.858159695691,267,374,205,130,130,opencv_hough_v1,candidate,2026-09-08T16:59:00.477132+00:00
