mirror_id,latitude,longitude,area,status,confidence,image_reference,panorama_id,heading,capture_date,notes,description,rating,reviewed_at,sequence_number
9f90b556-f0b,18.47599407767,73.862320157282,Ganga Dham,uncertain,0.691,mapillary_172095134791857,172095134791857,356,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063700+00:00,1
cf7079c2-d7d,18.471555423225,73.863463381744,Ganga Dham,uncertain,0.679,mapillary_4512042082145388,4512042082145388,336,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063717+00:00,2
98045bad-257,18.475801324544,73.862345543813,Ganga Dham,uncertain,0.662,mapillary_503016854074357,503016854074357,4,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063723+00:00,3
29099bfa-de2,18.474625159671,73.862414951852,Ganga Dham,uncertain,0.652,mapillary_973364723403931,973364723403931,353,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063728+00:00,4
9e4ca91a-682,18.475115130695,73.861082657885,Ganga Dham,uncertain,0.649,mapillary_255419616329761,255419616329761,275,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063732+00:00,5
9fe75831-46a,18.476261707965,73.862303710619,Ganga Dham,uncertain,0.631,mapillary_310393700454417,310393700454417,351,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063738+00:00,6
6e9fe259-731,18.47507303203,73.861366847061,Ganga Dham,uncertain,0.597,mapillary_1393299064369870,1393299064369870,319,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063742+00:00,7
9c9a4e30-7cf,18.474859069093,73.858334668006,Ganga Dham,uncertain,0.582,mapillary_258227855779876,258227855779876,264,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063745+00:00,8
5320264b-337,18.473231254708,73.858137793036,Ganga Dham,uncertain,0.58,mapillary_318674196293064,318674196293064,163,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063749+00:00,9
fa9dac6e-ad5,18.474905164111,73.859383824291,Ganga Dham,uncertain,0.575,mapillary_1201156206981076,1201156206981076,263,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063752+00:00,10
a09e2161-6bf,18.475901503459,73.86245656,Ganga Dham,uncertain,0.569,mapillary_299193431921088,299193431921088,158,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063755+00:00,11
884cbcc1-d65,18.473394024773,73.858057435449,Ganga Dham,uncertain,0.555,mapillary_267033215105455,267033215105455,154,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063758+00:00,12
2427af78-11c,18.473088569124,73.858181174343,Ganga Dham,uncertain,0.541,mapillary_368798647892947,368798647892947,163,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063762+00:00,13
91964863-6e8,18.47491675483,73.85923939975,Ganga Dham,uncertain,0.539,mapillary_377033363649473,377033363649473,269,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063765+00:00,14
46377d4c-295,18.4754976652,73.8624971062,Ganga Dham,uncertain,0.511,mapillary_861217854431136,861217854431136,172,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063768+00:00,15
1ff9d5fa-ca2,18.474872132736,73.858159695691,Ganga Dham,uncertain,0.449,mapillary_373881933968758,373881933968758,267,,,Candidate mirror near Ganga Dham,,2026-09-08T16:59:33.063771+00:00,16
